"","TCGA-44-2668-11A-01R-1758-07","TCGA-50-5936-11A-01R-1628-07","TCGA-44-2661-11A-01R-1758-07","TCGA-44-3398-11B-01R-1758-07","TCGA-44-6776-11A-01R-1858-07","TCGA-91-6831-11A-02R-1858-07","TCGA-50-5932-11A-01R-1755-07","TCGA-55-6984-11A-01R-1949-07","TCGA-44-2657-11A-01R-1758-07","TCGA-38-4627-11A-01R-1758-07","TCGA-69-7980-01A-11R-2187-07","TCGA-55-1592-01A-01R-0946-07","TCGA-55-7727-01A-11R-2170-07","TCGA-55-6972-01A-11R-1949-07","TCGA-49-AARE-01A-11R-A41B-07","TCGA-86-7713-01A-11R-2066-07","TCGA-55-7913-01B-11R-2241-07","TCGA-44-A47G-01A-21R-A24H-07","TCGA-44-2662-01B-02R-A277-07","TCGA-44-5645-01A-01R-1628-07"
"TSPAN6",985,721,1395,1988,1200,348,622,2056,881,1229,4915,8260,1804,1575,5209,8522,7249,2272,667,5638
"TNMD",2,0,8,6,2,0,1,5,1,1,0,6,0,0,2,0,0,0,10,1
"DPM1",1278,767,1031,1520,909,752,619,1573,941,1703,2023,3235,1118,1819,1229,2548,3144,851,554,1208
"SCYL3",413,465,541,815,373,211,411,774,536,345,1156,1587,554,917,666,2384,1768,565,716,883
"C1orf112",135,75,135,170,70,38,79,154,144,122,670,779,196,173,358,1790,1359,199,619,211
"FGR",12378,3573,3245,6303,2123,1506,1896,3092,2954,3772,1463,2943,243,38,909,491,798,2245,455,736
"CFH",5540,1868,9854,13690,1801,1384,3391,4816,2112,6617,15326,5508,1487,585,6342,25374,2206,6666,2567,10602
"FUCA2",3010,1202,1898,2921,1053,692,1115,3013,1625,2449,3423,3124,964,524,2758,3128,2731,2188,588,1096
"GCLC",1077,706,970,1569,619,318,487,1225,735,864,4585,4976,2196,1019,28670,1205,2149,5046,2194,951
"NFYA",1459,875,1256,1637,705,572,690,1280,1014,953,4775,4919,1677,869,1439,3312,3118,1744,738,1092
"STPG1",571,445,709,1135,518,255,384,1233,374,543,940,898,324,465,573,1219,392,601,72,1003
"NIPAL3",2640,2608,3725,5301,2435,1236,2334,5187,3005,1701,3434,3821,2047,1450,904,4195,1844,1916,481,4506
"LAS1L",1894,1054,1618,2255,1176,636,954,1978,1578,1050,3367,2039,1016,1214,3593,3986,4661,1583,599,2215
"ENPP4",4262,2973,2270,4318,1844,1947,2558,5241,1663,2904,3975,7129,2541,1342,1183,6432,1476,1447,1069,2215
"SEMA3F",1739,1510,3233,2799,1163,822,1221,1442,1721,2212,2431,1771,163,228,1474,3290,8594,608,129,2339
"CFTR",2581,2314,1148,1964,1513,1033,658,2181,3094,1409,185,1983,761,177,77,1683,29,188,1299,4190
"ANKIB1",2074,1954,2279,2750,1651,1221,1599,3375,1478,1580,3725,6861,2028,1083,2724,10215,5799,2745,4743,2661
"CYP51A1",356,278,125,348,173,137,149,249,108,173,51,308,19,39,73,352,361,21,10,77
"KRIT1",198,159,205,348,206,135,125,371,186,159,333,578,191,200,415,529,579,270,766,282
"RAD52",193,238,333,414,302,101,176,509,247,143,636,1178,170,286,243,2430,932,247,362,372
"MYH16",7,2,4,6,3,0,3,9,3,0,27,16,14,10,111,25,12,10,38,5
"BAD",590,287,495,745,191,102,223,769,465,872,874,736,44,309,501,327,826,308,31,480
"LAP3",9845,4037,5936,10236,4591,3435,3867,8399,6388,9108,8474,8206,4292,2077,3993,6940,3780,6336,1491,5296
"CD99",8050,2776,4900,6836,1807,1568,2998,4025,3231,5454,4174,3156,1731,748,5790,5024,5504,3300,532,2552
"HS3ST1",214,199,247,647,303,85,121,486,407,499,1684,2058,854,105,831,1406,3682,1710,652,383
"AOC1",216,35,65,157,19,1,16,55,148,68,5953,9142,17,404,77,111,8903,2106,11,458
"WNT16",7,1,2,9,6,3,3,12,23,3,17,94,3,5,28,7,22,10,51,13
"HECW1",12,13,67,28,21,2,1,4,7,28,110,34,7,56,89,224,35,15,90,51
"MAD1L1",49,36,36,46,29,20,23,35,102,23,41,28,8,2,20,25,68,26,50,22
"LASP1",17253,9493,16189,17750,5456,3345,6416,12021,10987,10307,35511,33877,7845,3158,21882,22072,20527,9886,1508,7759
"SNX11",1719,805,1586,1742,754,448,668,1982,1637,2152,1486,2305,747,576,1126,2970,1676,816,212,886
"TMEM176A",3673,1051,4043,4258,488,679,882,1055,3139,3681,8701,4424,649,3617,1818,875,7523,3673,209,1777
"M6PR",7709,2973,4486,5775,2147,1463,2342,4671,3749,4031,5865,8105,1396,896,1385,6454,9579,2702,839,3493
"KLHL13",55,50,141,431,77,20,66,300,89,200,89,2201,177,20,1249,695,200,121,50,303
"CYP26B1",98,385,902,2470,70,185,274,474,905,175,165,367,56,40,311,910,317,393,62,74
"ICA1",1142,761,914,803,741,420,524,1477,807,571,1614,2613,1255,1556,2671,5126,9903,949,579,1703
"DBNDD1",537,223,640,573,250,100,209,696,363,245,3305,1904,260,911,6515,4399,3325,1164,52,428
"ALS2",1534,1137,1374,1891,1154,697,895,1824,997,844,1772,3382,883,426,1380,4513,2966,1159,1185,943
"CASP10",1826,1524,2401,2478,1228,1035,1188,2265,1399,1476,3657,4355,1292,388,1113,2142,2416,2899,1136,1310
"CFLAR",16216,9521,9097,12283,12909,7945,7827,13768,6320,5550,14815,10663,7634,1753,5352,7745,6583,19260,9183,6599
"TFPI",9956,8709,8394,10546,10952,6762,5904,9233,8623,14105,27891,5458,7364,331,676,22053,3565,4312,11250,16908
"NDUFAF7",425,274,360,535,345,229,193,477,382,427,1381,1044,385,368,1160,1526,759,789,403,394
"RBM5",2420,1412,2647,4053,2250,1396,1360,3749,2175,940,3915,4765,2435,1907,2546,8628,3988,3523,2674,2652
"MTMR7",74,54,64,155,79,48,82,140,60,41,179,127,28,62,75,265,55,57,292,92
"SLC7A2",3330,2792,1646,4874,2892,2227,1498,2078,1870,1216,1754,1798,930,30,178,14388,5037,1210,1261,4453
"ARF5",4184,1818,3689,4459,1612,932,1507,3967,3209,5161,5775,8848,875,2782,7363,4964,6573,2832,232,2306
"SARM1",300,210,326,470,211,61,211,414,265,150,522,557,124,51,200,301,477,252,145,426
"POLDIP2",5140,2415,4005,4693,2358,1085,1886,4416,4273,3550,9039,10103,2643,1571,6550,8962,12024,4520,601,2952
"PLXND1",16315,11045,17919,16352,8342,3892,8530,9451,10899,6848,12872,15999,1089,899,4026,19101,14191,14665,5207,6398
"AK2",5845,3239,4816,6188,3088,1814,2491,5831,4877,5338,10715,12372,4090,5626,6448,38843,10784,6153,2489,5451
"CD38",2838,265,772,2001,456,448,1018,2421,1131,856,1189,681,415,2040,4011,3748,595,1444,721,513
"FKBP4",2538,1191,2110,2898,1469,738,1042,2588,1931,2078,5072,9201,1420,1531,2461,10181,6144,1550,706,1174
"KDM1A",3214,1819,2902,4051,1892,1000,1612,3435,2444,1796,8250,9714,1892,2462,3737,12736,7728,4263,1398,3725
"RBM6",2481,2174,2513,3270,2825,1482,1829,4201,2596,818,5610,5918,2407,1609,5475,9801,5799,4229,2578,2938
"CAMKK1",862,491,641,787,375,147,338,736,555,263,1231,1163,116,274,523,657,1186,565,150,564
"RECQL",1254,751,1090,1524,617,618,795,995,774,771,1864,4702,501,263,431,2473,1783,849,566,877
"VPS50",1006,761,1053,1519,825,568,639,1707,850,1036,1194,3305,708,573,621,2683,1676,861,1195,1219
"HSPB6",649,261,698,1945,90,86,386,467,250,610,292,73,2,16,50,232,42,57,2,76
"ARHGAP33",111,126,134,185,125,78,128,238,138,55,819,428,85,164,1105,571,317,535,92,148
"NDUFAB1",1668,798,1230,2006,791,416,652,2659,1414,2823,2381,3705,1009,1780,3578,2893,3379,1986,409,1468
"PDK4",11032,8138,3852,13773,26122,5991,6853,6515,3463,9041,1759,2669,364,549,217,11602,1418,2233,2522,930
"SLC22A16",33,3,4,14,7,6,2,0,14,12,3,3,18,0,54,18,1,9,11,1
"ZMYND10",82,172,276,2408,771,21,190,3396,635,167,392,62,141,42,393,421,18,390,10,1650
"ABCB5",12,1,8,64,9,4,30,8,6,7,3,40,4,0,1,154,665,0,49,4
"ARX",0,10,10,97,32,0,11,142,33,5,560,6,98,2,76,5,349,74,1,136
"SLC25A13",1362,653,982,1060,728,318,513,900,693,686,2193,7004,652,649,1784,6950,6223,1095,1619,1584
"ST7",3257,1662,2284,2663,1739,807,1274,3617,1914,1819,1846,3703,911,1306,1907,3566,2808,1029,690,1896
"CDC27",3157,1982,2593,3495,1652,1588,1657,3019,1825,2303,3384,4851,2234,674,2029,7940,5024,2931,3271,1795
"SLC4A1",34,50,6,82,14,26,9,0,2,68,3,29,1,0,8,2,2,3,11,0
"CALCR",15,4,27,22,10,4,7,25,3,18,31,96,114,20,4,43,59,5,35,10
"HCCS",1432,625,897,1192,564,417,425,1161,773,1190,1454,1658,607,541,1634,1619,3057,760,272,954
"DVL2",1402,1133,1615,2099,914,392,845,1601,1375,1116,2339,4331,268,586,2819,3254,2745,1290,216,1104
"PRSS22",624,306,341,423,218,150,139,738,289,278,4506,5155,202,360,2920,359,2303,1186,492,978
"UPF1",9568,3416,6856,9318,4014,2409,2906,6661,5467,3222,24828,8262,1113,2576,8192,12893,10795,4881,738,5453
"SKAP2",4038,2610,3244,5349,2070,2104,2788,3823,2722,4814,5178,4464,1924,543,2771,949,5699,4259,2390,3666
"SLC25A5",16310,6626,9809,11552,7251,3283,4813,12838,11902,15527,11237,53525,6245,11493,12517,18208,47307,7877,953,10693
"MCUB",1138,305,756,1076,302,247,365,1108,931,1259,1099,719,896,106,824,228,628,1486,710,495
"HOXA11",1,0,3,1,0,0,0,1,3,4,32,1,0,0,1,0,401,0,2,0
"POLR2J",1108,591,899,1268,561,304,440,1195,1109,1370,1967,2508,261,1129,3297,2086,2602,815,67,1153
"DHX33",1099,538,923,1254,595,380,582,1082,633,431,1398,1746,428,265,1239,3413,1721,926,606,731
"MEOX1",164,13,271,204,14,12,41,20,127,83,75,141,19,4,60,18,15,42,6,88
"THSD7A",375,308,809,533,427,344,406,574,225,189,177,843,86,17,61,3756,373,181,1531,151
"LIG3",1158,610,1115,1127,683,409,671,993,842,533,1864,2301,971,734,2359,6207,5134,1021,844,1029
"RPAP3",1033,692,881,1213,719,561,615,1184,930,885,2821,2086,704,722,1852,3531,3109,1017,895,1345
"ACSM3",718,540,724,662,417,259,346,742,710,461,687,1978,319,344,57,346,113,333,100,1204
"REXO5",122,69,87,145,98,28,43,123,106,76,128,541,242,156,299,827,676,177,188,229
"CIAPIN1",2692,1047,2005,2133,1122,676,984,2180,1739,2332,3228,3428,1014,1274,3272,4222,4384,1287,342,761
"SPPL2B",1420,684,1128,1628,750,343,606,1730,1256,729,4120,2487,236,533,3579,2414,2429,1808,271,1296
"FAM214B",2547,1048,1778,1574,951,469,826,1671,1272,1266,2546,3100,739,279,2169,1988,3709,1313,251,604
"COPZ2",595,279,778,1272,277,173,332,755,541,855,857,386,150,56,1253,94,1620,332,136,195
"PRKAR2B",933,455,680,1606,681,427,568,997,547,838,461,276,560,1250,275,2969,117,544,277,1205
"MSL3",1651,789,1572,1912,823,575,646,2097,1424,1528,2625,1919,944,851,1589,3267,2175,1869,1085,1715
"CREBBP",6402,5764,6644,8965,3932,2362,4407,6382,5040,2038,15420,10696,2236,1591,3114,15081,8122,3541,2652,6412
"TSPOAP1",553,522,752,1418,786,213,535,1497,571,185,1319,1561,360,150,535,668,527,1516,71,1101
"MPO",86,18,44,58,8,9,16,18,30,43,21,45,0,4,7,16,32,25,4,17
"PON1",55,13,9,31,40,10,8,40,26,5,143,129,70,26,74,84,76,329,79,37
